X,name,url_location
31498,"Ematsa - Lafon | Tarragona, CT | EV Station",https://www.plugshare.com/location/162063
31499,"Estación de Servicio Repsol | Sant Pere de Ribes, CT | EV Station",https://www.plugshare.com/location/162064
31837,"Hotel Catalonia Diagonal Centro | Barcelona, CT | EV Station",https://www.plugshare.com/location/162727
32055,"Sant Fruitos de Bages | Sant Fruitós de Bages, CT | EV Station",https://www.plugshare.com/location/163102
32243,"Santa Susanna | Santa Susanna, CT | EV Station",https://www.plugshare.com/location/163459
32291,"Marriot/Starwood Garage | Stamford, CT | EV Station",https://www.plugshare.com/location/163552
32296,"Baymont Inn and Suites Outlet | Groton, CT | EV Station",https://www.plugshare.com/location/163559
32369,"Can Rin Restaurant | Cabrils, CT | EV Station",https://www.plugshare.com/location/163699
32676,"Park Marina Port | Barcelona, CT | EV Station",https://www.plugshare.com/location/164334
32710,"Choate Larry Hart Pool | Wallingford, CT | EV Station",https://www.plugshare.com/location/164407
32857,"Hampton Inn & Suites | Rocky Hill, CT | EV Station",https://www.plugshare.com/location/164723
32935,"Mystic Marriott Hotel & Resorts | Groton, CT | EV Station",https://www.plugshare.com/location/16487
33067,"Saltoki | Barberà del Vallès, CT | EV Station",https://www.plugshare.com/location/165150
33147,"Continental Parking Avenida Sofia - Sitges  | Sitges, CT | EV Station",https://www.plugshare.com/location/165314
33215,"Bridgeport Charge Center At Park City Ford | Bridgeport, CT | EV Station",https://www.plugshare.com/location/165444
33248,"Cam Rils Park | Cambrils, CT | EV Station",https://www.plugshare.com/location/165526
33407,"Albertus Magnus College (Coming Soon) | New Haven, CT | EV Station",https://www.plugshare.com/location/165870
33615,"Travessia del Cavall Bernat Estacionamiento / carga | Platja d'Aro, CT | EV Station",https://www.plugshare.com/location/166294
33684,"Tănase Cadastru  | Constanța, CT | EV Station",https://www.plugshare.com/location/166421
33749,"Comfort Inn Guest Charger | East Hartford, CT | EV Station",https://www.plugshare.com/location/166550
33774,"Hartford Life | Windsor, CT | EV Station",https://www.plugshare.com/location/1665
33811,"Choate Squire Stanley | Wallingford, CT | EV Station",https://www.plugshare.com/location/166667
33894,"YMCA Woodstock | Woodstock, CT | EV Station",https://www.plugshare.com/location/166834
34734,"Eurotrak Gas Station | Grañanella, CT | EV Station",https://www.plugshare.com/location/168508
34762,"Lone Oak Campsites | North Canaan, CT | EV Station",https://www.plugshare.com/location/168553
34768,"Le Meridien Ra Beach Hotel & Spa | El Vendrell, CT | EV Station",https://www.plugshare.com/location/168568
35110,"Holiday Hill | Prospect, CT | EV Station",https://www.plugshare.com/location/16925
35112,"Valenti Volvo Cars | Watertown, CT | EV Station",https://www.plugshare.com/location/169261
35228,"The Shoppes at Fox Run | Glastonbury, CT | EV Station",https://www.plugshare.com/location/169489
35361,"Grace Mayflower Inn and Spa | Washington, CT | EV Station",https://www.plugshare.com/location/169729
35425,"Audi of Fairfield | Fairfield, CT | EV Station",https://www.plugshare.com/location/169856
35426,"Porsche of Fairfield | Fairfield, CT | EV Station",https://www.plugshare.com/location/169857
35626,"University of CT - Recreation | Mansfield, CT | EV Station",https://www.plugshare.com/location/170237
35671,"EdRR Pallejà AMB | Pallejà, CT | EV Station",https://www.plugshare.com/location/170323
35877,"Bridgeport Hospital Yale Healthcare Garage | Bridgeport, CT | EV Station",https://www.plugshare.com/location/170754
35894,"Cassa de la Selva | Cassà de la Selva, CT | EV Station",https://www.plugshare.com/location/170797
36043,"Valenti Ford | Stonington, CT | EV Station",https://www.plugshare.com/location/171127
36072,"Ridgefield Playhouse | Ridgefield, CT | EV Station",https://www.plugshare.com/location/17118
36104,"Country Pride Rest Stop | Willington, CT | EV Station",https://www.plugshare.com/location/17124
36466,"1x 11kW  | El Prat de Llobregat, CT | EV Station",https://www.plugshare.com/location/171933
36684,"Berlin Train Station | Berlin, CT | EV Station",https://www.plugshare.com/location/172366
36992,"B&B Hotel Mollet | Mollet del Vallès, CT | EV Station",https://www.plugshare.com/location/172998
37273,"Hotel Alga | Palafrugell, CT | EV Station",https://www.plugshare.com/location/173526
37346,"Community Health Center | Middletown, CT | EV Station",https://www.plugshare.com/location/17367
37422,"IBERDROLA CLIENTES | Manresa, CT | EV Station",https://www.plugshare.com/location/173845
38057,"Hotel y Casas Can Bassa | Madremanya, CT | EV Station",https://www.plugshare.com/location/175028
38073,"Comcast | Berlin, CT | EV Station",https://www.plugshare.com/location/175051
38195,"SABA | Mataró, CT | EV Station",https://www.plugshare.com/location/175327
38206,"Curio Madison Beach hotel | Madison, CT | EV Station",https://www.plugshare.com/location/175362
38246,"Plaça d'Anselm Clavé | Sant Pol de Mar, CT | EV Station",https://www.plugshare.com/location/175441
